,Model Name,Price,Discount,Avg Rating,Rating Count,Review Count,Memory Details,Screen Dimention,Lens Detail,Battery Capacity,Processor,Warranty
311,"OPPO A5 (Diamond Blue, 64 GB)",,,4.4,"12,470 Ratings "," 1,000 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,15.75 cm (6.2 inch) HD+ Display,13MP + 2MP | 8MP Front Camera,4230 mAh Li-ion Battery,Qualcomm Snapdragon 450 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
312,"Samsung Galaxy S10 (Prism White, 512 GB)",64900.0,29% off,4.6,"1,464 Ratings ", 155 Reviews,8 GB RAM | 512 GB ROM | Expandable Upto 512 GB,15.49 cm (6.1 inch) Quad HD+ Display,16MP + 12MP | 10MP Front Camera,3400 mAh Lithium-ion Battery,Exynos 9 9820 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
313,"Samsung Galaxy S10 Plus (Prism White, 128 GB)",68000.0,13% off,4.6,"1,120 Ratings ", 122 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Quad HD+ Display,16MP + 12MP | 10MP + 8MP Dual Front Camera,4100 mAh Lithium-ion Battery,Exynos 9 9820 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
314,"Samsung Galaxy S10 (Prism Blue, 128 GB)",54900.0,22% off,4.6,"1,464 Ratings ", 155 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,15.49 cm (6.1 inch) Quad HD+ Display,16MP + 12MP | 10MP Front Camera,3400 mAh Lithium-ion Battery,Exynos 9 9820 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
315,"Samsung Galaxy S10 Plus (Prism Black, 128 GB)",68000.0,13% off,4.6,"1,120 Ratings ", 122 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Quad HD+ Display,16MP + 12MP | 10MP + 8MP Dual Front Camera,4100 mAh Lithium-ion Battery,Exynos 9 9820 Processor,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
316,"Samsung Galaxy Note 8 (Orchid Grey, 64 GB)",36990.0,50% off,4.6,"5,405 Ratings ", 673 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Quad HD+ Display,12MP + 12MP | 8MP Front Camera,3300 mAh Battery,0,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-box Accessories Including Batteries from the Date of Purchase.
317,"Redmi Note 7 Pro (Space Black, 128 GB)",14999.0,16% off,4.5,"2,18,379 Ratings "," 18,747 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,0
318,"Redmi Note 7 (Onyx Black, 32 GB)",10480.0,25% off,4.4,"1,28,333 Ratings "," 14,100 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,12MP + 2MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 660 AIE Processor,0
319,"Samsung Galaxy M20 (Charcoal Black, 32 GB)",11447.0,,4.3,"1,853 Ratings ", 142 Reviews,3 GB RAM | 32 GB ROM |,16.0 cm (6.3 inch) Display,13MP Rear Camera,5000 mAh Battery,0,12 months
320,"Samsung Galaxy A50 (Black, 64 GB)",14999.0,28% off,4.3,"42,577 Ratings "," 4,171 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,25MP + 5MP + 8MP | 25MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9610 Processor,0
321,"Samsung Galaxy A50 (Blue, 64 GB)",17999.0,25% off,4.4,"9,213 Ratings ", 847 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,25MP + 5MP + 8MP | 25MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9610 Processor,0
322,"Samsung Galaxy A50 (Black, 64 GB)",17999.0,25% off,4.4,"9,213 Ratings ", 847 Reviews,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.26 cm (6.4 inch) Full HD+ Display,25MP + 5MP + 8MP | 25MP Front Camera,4000 mAh Lithium-ion Battery,Exynos 9610 Processor,0
323,"Samsung Galaxy M20 (Ocean Blue, 64 GB)",12969.0,3% off,4.3,"2,983 Ratings ", 245 Reviews,4 GB RAM | 64 GB ROM |,16.0 cm (6.3 inch) Display,13MP Rear Camera,5000 mAh Battery,0,12 months
